subj_idx,visit,response,rt,acc,cond,ctrl
9,4,0,0.3663,1,Dual,HH
9,4,1,0.4694,1,Dual,HH
9,4,0,0.4116,1,Dual,HH
9,4,1,0.4828,1,Dual,HH
9,4,1,0.7079,1,Dual,HH
9,4,0,0.5131,1,Dual,HH
9,4,1,0.4315,1,Dual,HH
9,4,1,0.4416,1,Dual,HH
9,4,0,0.6138,1,Dual,HH
9,4,1,0.72,1,Dual,HH
9,4,0,0.4305,1,Dual,HH
9,4,0,0.4966,1,Dual,HH
9,4,1,0.4809,1,Dual,HH
9,4,0,0.546,1,Dual,HH
9,4,0,0.3786,1,Dual,HH
9,4,1,0.4267,1,Dual,HH
9,4,1,0.3051,1,Delay,HL
9,4,1,0.3133,1,Delay,HL
9,4,1,0.4344,1,Delay,HL
9,4,1,0.4065,1,Delay,HL
9,4,1,0.2915,1,Delay,HL
9,4,1,0.2926,1,Delay,HL
9,4,1,0.4248,1,Delay,HL
9,4,1,0.4779,1,Delay,HL
9,4,1,0.3064,1,Delay,HL
9,4,1,0.2945,1,Delay,HL
9,4,1,0.2656,1,Delay,HL
9,4,1,0.3127,1,Delay,HL
9,4,1,0.2489,1,Delay,HL
9,4,1,0.3251,1,Delay,HL
9,4,1,0.3762,1,Delay,HL
9,4,1,0.5144,1,Delay,HL
9,4,1,0.278,1,Delay,HL
9,4,1,0.2861,1,Delay,HL
9,4,1,0.3372,1,Delay,HL
9,4,1,0.4054,1,Delay,HL
9,4,1,0.2918,1,Delay,HL
9,4,1,0.352,1,Delay,HL
9,4,1,0.2559,1,Delay,HL
9,4,1,0.3001,1,Delay,HL
9,4,1,0.4012,1,Delay,HL
9,4,1,0.4394,1,Delay,HL
9,4,1,0.2991,1,Delay,HL
9,4,1,0.3252,1,Delay,HL
9,4,1,0.3102,1,Delay,HL
9,4,1,0.4705,1,Delay,HL
9,4,1,0.2898,1,Delay,HL
9,4,1,0.296,1,Delay,HL
9,4,1,0.4401,1,Delay,HL
9,4,1,0.3693,1,Delay,HL
9,4,1,0.2833,1,Delay,HL
9,4,1,0.3055,1,Delay,HL
9,4,1,0.2893,1,Delay,HL
9,4,1,0.2534,1,Delay,HL
9,4,1,0.3336,1,Delay,HL
9,4,1,0.3967,1,Delay,HL
9,4,1,0.379,1,Delay,HL
9,4,1,0.3321,1,Delay,HL
9,4,1,0.3381,1,Delay,HL
9,4,1,0.3294,1,Delay,HL
9,4,1,0.2862,1,Delay,HL
9,4,1,0.2994,1,Delay,HL
9,4,1,0.4216,1,Delay,HL
9,4,1,0.4117,1,Delay,HL
9,4,1,0.5061,1,Switch,LH
9,4,1,0.4991,1,Switch,LH
9,4,0,0.5233,1,Switch,LH
9,4,1,0.6545,1,Switch,LH
9,4,0,0.3114,1,Switch,LH
9,4,1,0.4466,1,Switch,LH
9,4,0,0.3298,1,Switch,LH
9,4,1,0.3699,1,Switch,LH
9,4,0,0.3497,1,Switch,LH
9,4,0,0.3478,1,Switch,LH
9,4,0,0.3809,1,Switch,LH
9,4,1,0.7741,1,Switch,LH
9,4,1,0.3152,1,Switch,LH
9,4,1,0.3123,1,Switch,LH
9,4,1,0.4857,1,Switch,LH
9,4,1,0.5149,1,Switch,LH
9,4,1,0.533,1,Switch,LH
9,4,0,0.5001,1,Switch,LH
9,4,1,0.3492,1,Switch,LH
9,4,1,0.4142,1,Switch,LH
9,4,1,0.3945,1,Switch,LH
9,4,1,0.3637,1,Switch,LH
9,4,1,0.4044,1,Switch,LH
9,4,1,0.4125,1,Switch,LH
9,4,1,0.2713,1,Switch,LH
9,4,1,0.3354,1,Switch,LH
9,4,1,0.3967,1,Switch,LH
9,4,1,0.7729,1,Switch,LH
9,4,1,0.4225,1,Switch,LH
9,4,1,0.3906,1,Switch,LH
9,4,1,0.4248,1,Switch,LH
9,4,1,0.4399,1,Switch,LH
9,4,1,0.4639,1,Switch,LH
9,4,1,0.492,1,Switch,LH
9,4,1,0.6093,1,Switch,LH
9,4,1,0.5344,1,Switch,LH
9,4,1,0.2516,1,Switch,LH
9,4,1,0.3697,1,Switch,LH
9,4,1,0.4237,1,Switch,LH
9,4,1,0.4039,1,Switch,LH
9,4,0,0.3303,1,Switch,LH
9,4,0,0.3204,1,Switch,LH
9,4,1,0.5668,1,Switch,LH
9,4,1,0.4689,1,Switch,LH
9,4,0,0.5351,1,Switch,LH
9,4,1,0.7883,1,Switch,LH
9,4,1,0.2961,1,Switch,LH
9,4,1,0.3163,1,Switch,LH
9,4,1,0.4553,1,Base,LL
9,4,0,0.3845,1,Base,LL
