,resp,rt,acc,onset,onseterror,duration,durationerror,trialtype,matchtype,letter,location1,location2,location3,location4,content,wm,dt,runnum, blocknum,trialnum,subj_idx,response
4296,1!,1.128959439,1,474.3974446,-0.002555423,0.499947125,-5.29E-05,VerbalDelayTaskCue,NonMatch,E,910,380,1010,480,verbal,yes,no,6,14,118,4,0
4297,1!,1.825072025,0,477.497099,-0.00290101,0.499945733,-5.43E-05,VerbalDelayBack,Match,T,1015,456,1115,556,verbal,yes,no,6,14,118,4,0
4298,4$,0.955257782,1,480.596778,-0.003222046,0.499929349,-7.07E-05,VerbalDelayBack,Match,A,805,456,905,556,verbal,yes,no,6,14,118,4,1
4299,1!,1.837306554,1,484.0963883,-0.003611657,0.499945364,-5.46E-05,VerbalDelayBack,NonMatch,E,1015,456,1115,556,verbal,yes,no,6,14,118,4,0
4300,4$,0.912570692,1,487.1960604,-0.003939569,0.499943318,-5.67E-05,VerbalDelayBack,Match,T,975,579,1075,679,verbal,yes,no,6,14,118,4,1
4301,4$,2.077633615,1,490.2957125,-0.004287537,0.499945163,-5.48E-05,ReturnVerbalDelayBack,Match,A,1015,456,1115,556,verbal,yes,no,6,14,118,4,1
4302,4$,0.825865618,1,493.3953798,-0.004620161,0.499945649,-5.44E-05,verbalBaseline2,Match,B,805,456,905,556,verbal,yes,no,6,14,118,4,1
4303,4$,0.754031423,1,497.2949676,-0.005032414,0.499932955,-6.70E-05,verbalBaseline2,Match,L,1015,456,1115,556,verbal,yes,no,6,14,118,4,1
4304,4$,0.889269879,1,503.4942911,-0.005708914,0.499939897,-6.01E-05,verbalInit,Match,T,975,579,1075,679,verbal,yes,yes,6,15,128,4,1
4305,1!,0.750495512,1,507.393875,-0.006124974,0.499931814,-6.82E-05,verbalBaseline1,NonMatch,B,1015,456,1115,556,verbal,yes,yes,6,15,128,4,0
4306,1!,1.160622756,1,510.4935262,-0.006473798,0.499948064,-5.19E-05,VerbalBranchTaskCue,NonMatch,A,910,380,1010,480,verbal,yes,yes,6,15,128,4,0
4307,1!,1.512760395,1,513.9931506,-0.006849439,0.499949204,-5.08E-05,VerbalBranchStart,NonMatch,L,805,456,905,556,verbal,yes,yes,6,15,128,4,0
4308,1!,1.596237366,1,517.5094434,0.009443411,0.499948115,-5.19E-05,VerbalBranchBack,NonMatch,A,910,380,1010,480,verbal,yes,yes,6,15,128,4,0
4309,4$,1.466380245,1,521.0090674,0.009067367,0.49994793,-5.21E-05,ReturnVerbalBranchBack,Match,B,845,579,945,679,verbal,yes,yes,6,15,128,4,1
4310,4$,1.23461912,1,524.9086382,0.00863816,0.499943369,-5.66E-05,verbalBaseline2,Match,L,910,380,1010,480,verbal,yes,yes,6,15,128,4,1
4311,4$,0.9359872,1,532.3078265,0.007826452,0.499954101,-4.59E-05,spatialInit,Match,A,910,380,1010,480,spatial,no,no,6,16,135,4,1
4312,4$,0.882913335,1,536.2074145,0.007414467,0.499940233,-5.98E-05,spatialBaseline1,Match,L,975,579,1075,679,spatial,no,no,6,16,135,4,1
4313,4$,0.730337058,1,540.1070045,0.007004478,0.499926884,-7.31E-05,SpatialControlTaskCue,Match,A,805,456,905,556,spatial,no,no,6,16,135,4,1
4314,1!,0.896513037,1,544.0065751,0.006575119,0.499941608,-5.84E-05,SpatialControlBack,NonMatch,E,975,579,1075,679,spatial,no,no,6,16,135,4,0
4315,4$,0.939695974,1,547.9061525,0.006152502,0.499931194,-6.88E-05,SpatialControlBack,Match,T,805,456,905,556,spatial,no,no,6,16,135,4,1
4316,1!,0.902831866,1,551.0058166,0.005816591,0.499939143,-6.09E-05,SpatialControlBack,NonMatch,B,910,380,1010,480,spatial,no,no,6,16,135,4,0
4317,1!,0.838004678,1,554.9053893,0.00538933,0.499944408,-5.56E-05,SpatialControlBack,NonMatch,A,845,579,945,679,spatial,no,no,6,16,135,4,0
4318,1!,1.076198933,1,558.8049585,0.004958478,0.499949741,-5.03E-05,ReturnSpatialControlBack,NonMatch,B,805,456,905,556,spatial,no,no,6,16,135,4,0
4319,4$,0.930328076,1,561.9046361,0.004636135,0.499936661,-6.33E-05,spatialBaseline2,Match,E,1015,456,1115,556,spatial,no,no,6,16,135,4,1
4320,1!,0.880482649,1,565.0042996,0.00429962,0.49993495,-6.50E-05,spatialBaseline2,NonMatch,B,910,380,1010,480,spatial,no,no,6,16,135,4,0
4321,4$,1.258133109,1,11.99970199,-0.000298006,0.499979459,-2.05E-05,verbalInit,NonMatch,L,910,380,1010,480,verbal,no,no,1,1,1,5,1
4322,4$,1.372275809,1,15.09951046,-0.000489536,0.499981754,-1.82E-05,verbalBaseline1,NonMatch,T,975,579,1075,679,verbal,no,no,1,1,1,5,1
4323,4$,1.430401885,1,18.19934288,-0.000657117,0.499961226,-3.88E-05,verbalBaseline1,NonMatch,L,845,579,945,679,verbal,no,no,1,1,1,5,1
4324,4$,1.838573348,1,21.69912621,-0.000873793,0.499970535,-2.95E-05,VerbalControlTaskCue,NonMatch,T,805,456,905,556,verbal,no,no,1,1,1,5,1
4325,1!,0.9107075,1,25.19892436,-0.001075643,0.499965503,-3.45E-05,VerbalControlBack,Match,A,1015,456,1115,556,verbal,no,no,1,1,1,5,0
4326,1!,0.705927409,1,28.69871509,-0.001284906,0.499981803,-1.82E-05,VerbalControlBack,Match,B,805,456,905,556,verbal,no,no,1,1,1,5,0
4327,4$,0.673100773,1,32.59848667,-0.001513328,0.499966594,-3.34E-05,ReturnVerbalControlBack,NonMatch,A,1015,456,1115,556,verbal,no,no,1,1,1,5,1
